neighborhood,event_time,1h_ocean,inland,island,near_bay,near_ocean,median_house_value,median_house_age,total_households,total_bedrooms,bedrooms_per_household,locality-code
,2024-05-26 20:33:06.121003,False,False,False,False,True,,,,,,894.0
Tijuana River Valley,2024-05-26 20:33:06.121003,False,False,False,False,True,126600.0,0-9,1016,1079,1.062007874015748031496062992,778.0
Tijuana River Valley,2024-05-26 20:33:06.121003,False,False,False,False,True,126600.0,0-9,1016,1079,1.062007874015748031496062992,778.0
San Ysidro,2024-05-26 20:33:06.121003,False,False,False,False,True,124550.0,10-19,546,562,1.029304029304029304029304029,778.0
,2024-05-26 20:33:06.121003,False,False,False,False,True,,,,,1.0466531440162272,398.0
Egger Highlands,2024-05-26 20:33:06.121003,False,False,False,False,True,128177.77777777778,20-29,493,516,1.046653144016227180527383367,778.0
Nestor,2024-05-26 20:33:06.121003,False,False,False,False,True,132500.0,10-19,534,556,1.041198501872659176029962547,778.0
Nestor,2024-05-26 20:33:06.121003,False,False,False,False,True,132500.0,10-19,534,556,1.041198501872659176029962547,778.0
San Ysidro,2024-05-26 20:33:06.121003,False,False,False,False,True,124550.0,10-19,546,562,1.029304029304029304029304029,778.0
San Ysidro,2024-05-26 20:33:06.121003,False,False,False,False,True,124550.0,10-19,546,562,1.029304029304029304029304029,778.0
San Ysidro,2024-05-26 20:33:06.121003,False,False,False,False,True,124550.0,10-19,546,562,1.029304029304029304029304029,778.0
San Ysidro,2024-05-26 20:33:06.121003,False,False,False,False,True,124550.0,10-19,546,562,1.029304029304029304029304029,778.0
San Ysidro,2024-05-26 20:33:06.121003,False,False,False,False,True,124550.0,10-19,546,562,1.029304029304029304029304029,778.0
,2024-05-26 20:33:06.121003,False,False,False,False,True,,,,,1.059736363128867,778.0
,2024-05-26 20:33:06.121003,False,False,False,False,True,,,,,1.0466531440162272,398.0
,2024-05-26 20:33:06.121003,False,False,False,False,True,,,,,1.0466531440162272,398.0
,2024-05-26 20:33:06.121003,False,False,False,False,True,,,,,1.0466531440162272,398.0
Egger Highlands,2024-05-26 20:33:06.121003,False,False,False,False,True,128177.77777777778,20-29,493,516,1.046653144016227180527383367,778.0
Egger Highlands,2024-05-26 20:33:06.121003,False,False,False,False,True,128177.77777777778,20-29,493,516,1.046653144016227180527383367,778.0
Nestor,2024-05-26 20:33:06.121003,False,False,False,False,True,132500.0,10-19,534,556,1.041198501872659176029962547,778.0
Nestor,2024-05-26 20:33:06.121003,False,False,False,False,True,132500.0,10-19,534,556,1.041198501872659176029962547,778.0
Nestor,2024-05-26 20:33:06.121003,False,False,False,False,True,132500.0,10-19,534,556,1.041198501872659176029962547,778.0
Nestor,2024-05-26 20:33:06.121003,False,False,False,False,True,132500.0,10-19,534,556,1.041198501872659176029962547,778.0
Nestor,2024-05-26 20:33:06.121003,False,False,False,False,True,132500.0,10-19,534,556,1.041198501872659176029962547,778.0
Otay Mesa West,2024-05-26 20:33:06.121003,False,False,False,False,True,130818.75,10-19,441,448,1.015873015873015873015873016,778.0
Otay Mesa West,2024-05-26 20:33:06.121003,False,False,False,False,True,130818.75,10-19,441,448,1.015873015873015873015873016,778.0
Otay Mesa West,2024-05-26 20:33:06.121003,False,False,False,False,True,130818.75,10-19,441,448,1.015873015873015873015873016,778.0
Otay Mesa West,2024-05-26 20:33:06.121003,False,False,False,False,True,130818.75,10-19,441,448,1.015873015873015873015873016,778.0
Otay Mesa West,2024-05-26 20:33:06.121003,False,False,False,False,True,130818.75,10-19,441,448,1.015873015873015873015873016,778.0
Otay Mesa West,2024-05-26 20:33:06.121003,False,False,False,False,True,130818.75,10-19,441,448,1.015873015873015873015873016,778.0
Otay Mesa West,2024-05-26 20:33:06.121003,False,False,False,False,True,130818.75,10-19,441,448,1.015873015873015873015873016,778.0
Otay Mesa West,2024-05-26 20:33:06.121003,False,False,False,False,True,130818.75,10-19,441,448,1.015873015873015873015873016,778.0
,2024-05-26 20:33:06.121003,False,False,False,False,True,,,,,,
,2024-05-26 20:33:06.121003,False,False,False,False,True,,,,,1.0466531440162272,398.0
,2024-05-26 20:33:06.121003,False,False,False,False,True,,,,,1.0466531440162272,398.0
,2024-05-26 20:33:06.121003,False,False,False,False,True,,,,,1.0466531440162272,398.0
,2024-05-26 20:33:06.121003,False,False,False,False,True,,,,,1.0466531440162272,398.0
,2024-05-26 20:33:06.121003,False,False,False,False,True,,,,,1.0466531440162272,398.0
,2024-05-26 20:33:06.121003,False,False,False,False,True,,,,,1.0466531440162272,398.0
,2024-05-26 20:33:06.121003,False,False,False,False,True,,,,,1.0466531440162272,398.0
,2024-05-26 20:33:06.121003,False,False,False,False,True,,,,,1.0466531440162272,398.0
Egger Highlands,2024-05-26 20:33:06.121003,False,False,False,False,True,128177.77777777778,20-29,493,516,1.046653144016227180527383367,778.0
Egger Highlands,2024-05-26 20:33:06.121003,False,False,False,False,True,128177.77777777778,20-29,493,516,1.046653144016227180527383367,778.0
Egger Highlands,2024-05-26 20:33:06.121003,False,False,False,False,True,128177.77777777778,20-29,493,516,1.046653144016227180527383367,778.0
Egger Highlands,2024-05-26 20:33:06.121003,False,False,False,False,True,128177.77777777778,20-29,493,516,1.046653144016227180527383367,778.0
Egger Highlands,2024-05-26 20:33:06.121003,False,False,False,False,True,128177.77777777778,20-29,493,516,1.046653144016227180527383367,778.0
